measure,location,sex,age,cause,metric,year_start,year_end,val,upper,lower
YLDs (Years Lived with Disability),Low SDI,Female,Age-standardized,Latent tuberculosis infection,Percent,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Low SDI,Both,Age-standardized,Latent tuberculosis infection,Percent,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Low SDI,Male,Age-standardized,Latent tuberculosis infection,Rate,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Low SDI,Female,Age-standardized,Latent tuberculosis infection,Rate,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Low SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Middle SDI,Male,Age-standardized,Latent tuberculosis infection,Percent,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Middle SDI,Female,Age-standardized,Latent tuberculosis infection,Percent,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Middle SDI,Both,Age-standardized,Latent tuberculosis infection,Percent,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Middle SDI,Male,Age-standardized,Latent tuberculosis infection,Rate,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Middle SDI,Female,Age-standardized,Latent tuberculosis infection,Rate,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1990,2021,0.0,0.0,0.0
YLDs (Years Lived with Disability),Global,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Percent,1990,2021,3.734202423520719,11.47612383740135,0.724039974327735
YLDs (Years Lived with Disability),Global,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Percent,1990,2021,4.49806915035728,12.593066647291378,1.2000244232799533
YLDs (Years Lived with Disability),Global,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Percent,1990,2021,4.056756195164435,11.821752361373328,0.9251945764758028
YLDs (Years Lived with Disability),Global,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,3.60259137742077,11.171723693587698,0.6833053292046611
YLDs (Years Lived with Disability),Global,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,4.526860468031567,12.660107557266976,1.2526468707143508
YLDs (Years Lived with Disability),Global,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,4.0075895232354775,11.684256789468211,0.9227166081417144
YLDs (Years Lived with Disability),Global,Male,Age-standardized,Extensively drug-resistant tuberculosis,Percent,1990,2021,0.0,0.0,0.0
